epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6412,1.02416,3.07324,1.32799,0.06333,0.87692,0.19333,0.11539,0.65407,2.88835,1.06811,2e-05,2e-05,2e-05
2,39.4086,0.98928,3.11393,1.3134,0.06444,0.89231,0.26723,0.19994,0.65432,2.8551,1.04897,5.8812e-05,5.8812e-05,5.8812e-05
3,56.5901,0.934,3.03668,1.22095,0.06667,0.92308,0.31383,0.25448,0.68516,2.80542,1.03715,9.604e-05,9.604e-05,9.604e-05
4,75.9435,0.86272,2.79279,1.13119,0.07,0.96923,0.35575,0.29091,0.75082,2.73207,1.05676,0.000131684,0.000131684,0.000131684
5,93.8269,0.89626,2.62826,1.08066,0.07,0.96923,0.34002,0.27892,0.81336,2.67,1.10372,0.000165744,0.000165744,0.000165744
6,110.583,0.87181,1.92224,1.09043,0.56805,0.27692,0.36606,0.30158,0.84865,2.56823,1.12929,0.00019822,0.00019822,0.00019822
7,127.464,0.89847,1.71657,1.12753,0.93881,0.23625,0.47019,0.38667,0.86232,2.37677,1.13593,0.000229112,0.000229112,0.000229112
8,144.745,0.88071,1.30745,1.06174,0.91491,0.4,0.53685,0.45553,0.83386,2.11711,1.08015,0.00025842,0.00025842,0.00025842
9,162.608,0.93184,1.29083,1.10961,0.90514,0.43077,0.58884,0.49059,0.83534,2.01245,1.07208,0.000286144,0.000286144,0.000286144
10,179.658,0.88446,1.66628,1.16332,0.90769,0.45393,0.6835,0.55376,0.85983,1.91529,1.07085,0.000312284,0.000312284,0.000312284
11,196.962,0.79996,1.09214,1.06471,0.86336,0.48612,0.75126,0.59504,0.88703,1.83238,1.06576,0.00033684,0.00033684,0.00033684
12,213.87,0.7761,1.10132,1.01462,0.87366,0.53204,0.79914,0.62632,0.89265,1.79198,1.06038,0.000359812,0.000359812,0.000359812
13,231.023,0.80857,1.0075,1.03445,0.89029,0.62432,0.82641,0.66051,0.86138,1.69919,1.03372,0.0003812,0.0003812,0.0003812
